Unnamed: 0,Date,FIIcall,FIIput,FIIFuture,FIIFutOI,FIICash,DIIcash,feat_PE,feat_PB,feat_Div_Yield,Open,High,Low,Close,USDINR
321.0,2024-05-06,-50366.0,1433.0,16970.0,-72379.0,-2169.0,781.0,21.77,3.94,1.16,22561.6,22588.8,22409.45,22442.7,0.0
320.0,2024-05-07,-50366.0,1433.0,16970.0,-72379.0,-3669.0,2305.0,21.61,3.91,1.19,22489.75,22499.05,22232.05,22302.5,0.0
319.0,2024-05-08,-50366.0,1433.0,16970.0,-72379.0,-6669.0,5929.0,21.61,3.91,1.19,22231.2,22368.65,22185.2,22302.5,0.0
318.0,2024-05-09,-50366.0,1433.0,16970.0,-72379.0,-6995.0,5643.0,21.26,3.85,1.21,22224.8,22307.75,21932.4,21957.5,0.0
317.0,2024-05-10,-50366.0,1433.0,16970.0,-72379.0,-2117.0,2710.0,21.33,3.87,1.36,21990.95,22131.3,21950.3,22055.2,0.0
316.0,2024-05-13,-50366.0,1433.0,16970.0,-72379.0,-4499.0,3563.0,21.35,3.88,1.35,22027.95,22131.65,21821.05,22104.05,0.0
315.0,2024-05-14,-50366.0,1433.0,16970.0,-72379.0,-4066.0,3258.0,21.19,3.9,1.35,22112.9,22270.05,22081.25,22217.85,0.0
314.0,2024-05-15,-50366.0,1433.0,16970.0,-72379.0,-2833.0,3788.0,21.17,3.89,1.35,22255.6,22297.55,22151.75,22200.55,0.0
313.0,2024-05-16,-50366.0,1433.0,16970.0,-72379.0,-776.0,2128.0,21.41,3.93,1.26,22319.2,22432.25,22054.55,22403.85,0.0
312.0,2024-05-17,-50366.0,1433.0,16970.0,-72379.0,1617.0,1556.0,21.47,3.94,1.25,22415.25,22502.15,22345.65,22466.1,0.0
0.0,2024-05-18,0.0,0.0,0.0,0.0,0.0,0.0,21.5,3.95,1.25,22512.85,22520.25,22470.05,22502.0,0.0
311.0,2024-05-21,-50366.0,1433.0,16970.0,-72379.0,-1875.0,3549.0,21.52,3.95,1.24,22404.55,22591.1,22404.55,22529.05,0.0
310.0,2024-05-22,-50366.0,1433.0,16970.0,-72379.0,-686.0,962.0,21.55,3.96,1.29,22576.6,22629.5,22483.15,22597.8,0.0
309.0,2024-05-23,-50366.0,1433.0,16970.0,-72379.0,4671.0,147.0,21.9,4.03,1.27,22614.1,22993.6,22577.45,22967.65,0.0
308.0,2024-05-24,-50366.0,1433.0,16970.0,-72379.0,-945.0,2320.0,21.88,4.03,1.28,22930.75,23026.4,22908.0,22957.1,0.0
307.0,2024-05-27,-50366.0,1433.0,16970.0,-72379.0,-541.22,922.6,21.85,4.02,1.28,23038.95,23110.8,22871.2,22932.45,0.0
306.0,2024-05-28,-50366.0,1433.0,16970.0,-72379.0,65.57,3231.5,21.74,4.01,1.28,22977.15,22998.55,22858.5,22888.15,0.0
305.0,2024-05-29,-50366.0,1433.0,16970.0,-72379.0,-5842.0,5234.0,21.57,3.98,1.29,22762.75,22825.5,22685.45,22704.7,0.0
304.0,2024-05-30,-50366.0,1433.0,16970.0,-72379.0,-3050.0,3433.0,21.36,3.94,1.22,22617.45,22705.75,22417.0,22488.65,0.0
303.0,2024-05-31,-50366.0,1433.0,16970.0,-72379.0,1613.0,2144.0,21.4,3.95,1.28,22568.1,22653.75,22465.1,22530.7,0.0
302.0,2024-06-03,-50366.0,1433.0,16970.0,-72379.0,6851.0,1914.0,22.13,4.08,1.17,23337.9,23338.7,23062.3,23263.9,0.0
301.0,2024-06-04,-50366.0,1433.0,16970.0,-72379.0,-12436.0,-3319.0,20.81,3.84,1.31,23179.5,23179.5,21281.45,21884.5,0.0
300.0,2024-06-05,-50366.0,1433.0,16970.0,-72379.0,-5656.0,4555.0,21.51,3.97,1.26,22128.35,22670.4,21791.95,22620.35,0.0
