Date,FIICash,DIIcash
2023-05-19,-113.0,1071.0
2023-05-22,923.0,605.0
2023-05-23,183.0,397.0
2023-05-24,1186.0,301.0
2023-05-25,589.0,338.0
2023-05-26,350.0,1841.0
2023-05-29,1758.0,854.0
2023-05-30,2086.0,-439.0
2023-05-31,3406.0,-2529.0
2023-06-01,-71.0,489.0
2023-06-02,-659.0,582.0
2023-06-05,-701.0,1196.0
2023-06-06,386.0,-489.0
2023-06-07,1383.0,392.0
2023-06-08,212.0,-405.0
2023-06-09,-309.0,1246.0
2023-06-12,-627.0,1794.0
2023-06-13,1678.0,-203.0
2023-06-14,1715.0,-655.0
2023-06-15,3086.0,-298.0
2023-06-16,795.0,681.0
2023-06-19,-1031.0,-365.0
2023-06-20,-1943.0,1973.0
2023-06-21,4013.0,550.0
2023-06-22,-693.0,219.0
2023-06-23,-345.0,-684.0
2023-06-26,-409.0,250.0
2023-06-27,2029.0,-1991.0
2023-06-28,12350.0,-1021.0
2023-06-30,6397.0,1198.0
2023-07-03,1996.0,-338.0
2023-07-04,2134.0,-785.0
2023-07-05,1603.0,-439.0
2023-07-06,2641.0,-2352.0
2023-07-07,790.0,-2964.0
2023-07-10,588.0,288.0
2023-07-11,1197.0,-7.0
2023-07-12,-1242.0,437.0
2023-07-13,2238.0,-1197.0
2023-07-14,2636.0,-772.0
2023-07-17,73.0,64.0
2023-07-18,2116.0,-1318.0
2023-07-19,1165.0,-2135.0
2023-07-20,3371.0,-193.0
2023-07-21,-1999.0,1291.0
2023-07-24,-83.0,935.0
2023-07-25,1089.0,-334.0
2023-07-26,923.0,470.0
2023-07-27,-3979.0,2528.0
2023-07-28,-1024.0,1634.0
2023-07-31,-701.0,2488.0
2023-08-01,-93.0,1036.0
2023-08-02,-1878.0,-2.0
2023-08-03,-317.0,1729.0
2023-08-04,-556.0,367.0
2023-08-07,-1893.0,1081.0
2023-08-08,-711.0,537.0
2023-08-09,644.0,-598.0
2023-08-10,331.0,704.0
2023-08-11,-3073.0,500.0
2023-08-14,-2324.0,1461.0
2023-08-16,723.0,2406.0
2023-08-17,-1511.0,-314.0
2023-08-18,-267.0,339.0
2023-08-21,-1901.0,626.0
2023-08-22,-495.0,533.0
2023-08-23,615.0,125.0
2023-08-24,1524.0,5796.0
2023-08-25,-4638.0,1415.0
2023-08-28,-1393.0,1264.0
2023-08-29,65.0,305.0
2023-08-30,-494.0,1324.0
2023-08-31,-2973.0,4383.0
2023-09-01,488.0,2295.0
2023-09-04,-3368.0,2563.0
2023-09-15,164.0,1939.0
2023-09-18,-1237.0,553.0
2023-09-20,-3111.0,-573.0
2023-09-21,-3007.0,1158.0
2023-09-22,-1327.0,801.0
2023-09-25,-2333.0,1579.0
2023-09-26,-693.0,715.0
2023-09-27,-354.0,386.0
2023-09-28,-3364.0,2711.0
2023-09-29,-1686.0,2751.0
2023-10-03,-2034.0,1361.0
2023-10-04,-4424.0,1769.0
2023-10-05,-1864.0,521.0
2023-10-06,-90.0,783.0
2023-10-09,-998.0,2661.0
2023-10-10,-1005.0,1963.0
2023-10-11,-422.0,1032.0
2023-10-12,-1863.0,1532.0
2023-10-13,317.0,-103.0
2023-10-16,-594.0,1184.0
2023-10-17,264.0,113.0
2023-10-18,-1832.0,1470.0
2023-10-19,-1093.0,736.0
2023-10-20,456.0,9.0
2023-10-23,252.0,1112.0
2023-10-25,-4237.0,3569.0
2023-10-26,-7703.0,6558.0
2023-10-27,-1500.0,314.0
2023-10-30,-1762.0,1328.0
2023-10-31,-696.0,340.0
2023-11-01,-1817.0,1622.0
2023-11-02,-1261.0,1380.0
2023-11-03,-12.0,403.0
2023-11-06,-549.0,596.0
2023-11-07,-497.0,700.0
2023-11-08,-85.0,524.0
2023-11-09,-1712.0,1512.0
2023-11-10,-262.0,823.0
2023-11-12,-190.0,95.0
2023-11-13,-1244.0,830.0
2023-11-15,550.0,610.0
2023-11-16,957.0,706.0
2023-11-17,-478.0,-565.0
2023-11-20,-646.0,78.0
2023-11-21,-456.0,722.0
2023-11-22,-307.0,721.0
2023-11-23,256.0,457.0
2023-11-24,2625.0,134.0
2023-11-28,784.0,1325.0
2023-11-29,72.0,2361.0
2023-11-30,8148.0,-780.0
2023-12-01,1590.0,1448.0
2023-12-04,2073.0,4797.0
2023-12-05,5224.0,-1399.0
2023-12-06,-80.0,1372.0
2023-12-07,-1564.0,-10.0
2023-12-08,3632.0,-434.0
2023-12-11,1261.0,-1033.0
2023-12-12,77.0,1923.0
2023-12-13,4711.0,-958.0
2023-12-14,3570.0,553.0
2023-12-15,9239.0,-3077.0
2023-12-18,-34.0,414.0
2023-12-19,-602.0,294.0
2023-12-20,-1322.0,4754.0
2023-12-21,-1636.0,1465.0
2023-12-22,-2829.0,2167.0
2023-12-26,-95.0,167.0
2023-12-27,2926.0,-192.0
2023-12-28,4359.0,137.0
2023-12-29,1459.0,554.0
2024-01-01,-856.0,410.0
2024-01-02,1602.0,-1959.0
2024-01-03,-619.0,-863.0
2024-01-04,1513.0,-1387.0
2024-01-05,1697.0,-3498.0
2024-01-08,16.0,156.0
2024-01-09,-991.0,104.0
2024-01-10,-1721.0,2080.0
2024-01-11,-865.0,1607.0
2024-01-12,-340.0,2911.0
2024-01-15,1086.0,-821.0
2024-01-16,657.0,-369.0
2024-01-17,-10578.0,4006.0
2024-01-18,-9902.0,5977.0
2024-01-19,-3689.0,2638.0
2024-01-20,-546.0,-719.0
2024-01-23,-3115.0,214.0
2024-01-24,-6935.0,6013.0
2024-01-25,-2144.0,3475.0
2024-01-29,110.0,3221.0
2024-01-30,-1970.0,1002.0
2024-01-31,1661.0,2543.0
2024-02-01,-1879.0,872.0
2024-02-02,71.0,2463.0
2024-02-05,519.0,-1189.0
2024-02-06,93.0,1096.0
2024-02-07,-1691.0,328.0
2024-02-08,-4933.0,5512.0
2024-02-09,142.0,-422.0
2024-02-12,127.0,1712.0
