TATACOFFEE,           Ratio_name Ratio_value company_name
9   equity_repurchase           0   CUMMINSIND
10         asset_turn           0   CUMMINSIND
11          fs_margin           1   CUMMINSIND
ENDURANCE,           Ratio_name Ratio_value company_name
0       margin_growth    0.904784    ENDURANCE
1       margin_safety     7.30443    ENDURANCE
2             ROA_pos           1    ENDURANCE
3               fcfta           0    ENDURANCE
4         accrual_pos           0    ENDURANCE
5              fs_roa           0    ENDURANCE
6           f_accrual           0    ENDURANCE
7               lever           1    ENDURANCE
8              liquid           1    ENDURANCE
9   equity_repurchase           0    ENDURANCE
10         asset_turn           0    ENDURANCE
11          fs_margin           0    ENDURANCE
HCLTECH,           Ratio_name Ratio_value company_name
0       margin_growth    0.890843      HCLTECH
1       margin_safety     4.63307      HCLTECH
2             ROA_pos           1      HCLTECH
3               fcfta           1      HCLTECH
4         accrual_pos           1      HCLTECH
5              fs_roa           0      HCLTECH
6           f_accrual           1      HCLTECH
7               lever           1      HCLTECH
8              liquid           1      HCLTECH
9   equity_repurchase           1      HCLTECH
10         asset_turn           0      HCLTECH
11          fs_margin           1      HCLTECH
MRF,           Ratio_name Ratio_value company_name
0       margin_growth    0.946649          MRF
1       margin_safety     3.03627          MRF
2             ROA_pos           1          MRF
3               fcfta           0          MRF
4         accrual_pos           0          MRF
5              fs_roa           0          MRF
6           f_accrual           0          MRF
7               lever           1          MRF
8              liquid           1          MRF
9   equity_repurchase           0          MRF
10         asset_turn           0          MRF
11          fs_margin           1          MRF
MAXHEALTH,           Ratio_name Ratio_value company_name
0       margin_growth    0.704757    MAXHEALTH
1       margin_safety     1.51211    MAXHEALTH
2             ROA_pos           0    MAXHEALTH
3               fcfta           1    MAXHEALTH
4         accrual_pos           1    MAXHEALTH
5              fs_roa           0    MAXHEALTH
6           f_accrual           1    MAXHEALTH
7               lever           1    MAXHEALTH
8              liquid           1    MAXHEALTH
9   equity_repurchase           0    MAXHEALTH
10         asset_turn           0    MAXHEALTH
11          fs_margin           1    MAXHEALTH
AARTIDRUGS,           Ratio_name Ratio_value company_name
0       margin_growth    0.819259   AARTIDRUGS
1       margin_safety     3.60064   AARTIDRUGS
2             ROA_pos           1   AARTIDRUGS
3               fcfta           0   AARTIDRUGS
4         accrual_pos           1   AARTIDRUGS
5              fs_roa           1   AARTIDRUGS
6           f_accrual           0   AARTIDRUGS
7               lever           1   AARTIDRUGS
8              liquid           1   AARTIDRUGS
9   equity_repurchase           0   AARTIDRUGS
10         asset_turn           0   AARTIDRUGS
11          fs_margin           1   AARTIDRUGS
ASAHIINDIA,           Ratio_name Ratio_value company_name
0       margin_growth    0.875734   ASAHIINDIA
1       margin_safety     4.05684   ASAHIINDIA
2             ROA_pos           1   ASAHIINDIA
3               fcfta           1   ASAHIINDIA
4         accrual_pos           1   ASAHIINDIA
5              fs_roa           0   ASAHIINDIA
6           f_accrual           1   ASAHIINDIA
7               lever           1   ASAHIINDIA
8              liquid           1   ASAHIINDIA
9   equity_repurchase           0   ASAHIINDIA
10         asset_turn           0   ASAHIINDIA
11          fs_margin           1   ASAHIINDIA
MARUTI,           Ratio_name Ratio_value company_name
0       margin_growth    0.986958       MARUTI
1       margin_safety     3.08738       MARUTI
2             ROA_pos           1       MARUTI
3               fcfta           1       MARUTI
4         accrual_pos           1       MARUTI
5              fs_roa           0       MARUTI
6           f_accrual           1       MARUTI
7               lever           0       MARUTI
8              liquid           0       MARUTI
9   equity_repurchase           0       MARUTI
10         asset_turn           0       MARUTI
11          fs_margin           0       MARUTI
FRETAIL,           Ratio_name Ratio_value company_name
0       margin_growth    0.486421      FRETAIL
1       margin_safety   -0.382489      FRETAIL
2             ROA_pos           0      FRETAIL
3               fcfta           1      FRETAIL
4         accrual_pos           0      FRETAIL
5              fs_roa           0      FRETAIL
6           f_accrual           1      FRETAIL
7               lever           0      FRETAIL
8              liquid           1      FRETAIL
9   equity_repurchase           0      FRETAIL
